page_id,course_id,course_code,source_surface,source_kind,requested_url,resolved_url,title,canvas_object_type,canvas_object_id,depth,redirected,requires_external_handler,html_path,text_path,full_text_path,markdown_path,screenshot_path,metadata_path,html_sha256,text_sha256,captured_at,heading_count,link_count,iframe_count,module_item_count,assignment_row_count,grade_row_count
00001-mth-252-home-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,home,surface,https://canvas.oregonstate.edu/courses/2080857,https://canvas.oregonstate.edu/courses/2080857,INTEGRAL CALCULUS (MTH_252Z_400_U2026),course_page,,0,,,raw_html/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.html,text/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.txt,text/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.md,screenshots/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.png,metadata/00001-mth-252-home-integral-calculus-mth-252z-400-u2026.json,e715d8ecf67d30d79412296fc427c05f97b0791dc030b6731087404283c00a1e,0a682d26fdd485de9c51599aa013de7c82364114b443123131d9bc03b79dfd9f,2026-06-26T21:25:29.146Z,7,43,3,0,0,0
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,modules,surface,https://canvas.oregonstate.edu/courses/2080857/modules,https://canvas.oregonstate.edu/courses/2080857/modules,Course Modules: INTEGRAL CALCULUS (MTH_252Z_400_U2026),modules,,0,,,raw_html/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.html,text/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.txt,text/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.md,screenshots/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.png,metadata/00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026.json,07a90fc2b69bf968fbad010a0a1f29e5f7126d6bacd43cb3457be545eed5b316,fd5d39c03ed7af7453ffacdd26fe4742b32693a55cb58da2cf2737f5eee6a26b,2026-06-26T21:25:34.767Z,47,355,2,274,0,0
00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,assignments,surface,https://canvas.oregonstate.edu/courses/2080857/assignments,https://canvas.oregonstate.edu/courses/2080857,INTEGRAL CALCULUS (MTH_252Z_400_U2026),course_page,,0,yes,,raw_html/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.html,text/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.txt,text/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.md,screenshots/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.png,metadata/00003-mth-252-assignments-integral-calculus-mth-252z-400-u2026.json,0dcbbffb98290ee9ad7f337b1708109294f719a86ae35e84001c31c205b6850f,8c8fd1b60190bdd1a4a05bdfd688500cc60e6c7ae343e06a17bd5e84b64eae18,2026-06-26T21:25:50.044Z,7,43,3,0,0,0
00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,grades,surface,https://canvas.oregonstate.edu/courses/2080857/grades,https://canvas.oregonstate.edu/courses/2080857/grades,Grades for Jacob Peterson: INTEGRAL CALCULUS (MTH_252Z_400_U2026),grades,,0,,,raw_html/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.html,text/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.txt,text/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.md,screenshots/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.png,metadata/00004-mth-252-grades-grades-for-jacob-peterson-integral-calculus-mth-252z-400-u2026.json,b684031a12c29917b5575aa3bf419ed006b5b0d2ec190f076d8e58356c622ce5,3daec75e78f14657b632c87767ebe012eb7130462505ba9bc1ed214607c720bd,2026-06-26T21:25:54.167Z,1,350,2,0,0,74
00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,announcements,surface,https://canvas.oregonstate.edu/courses/2080857/announcements,https://canvas.oregonstate.edu/courses/2080857/announcements,Announcements: INTEGRAL CALCULUS (MTH_252Z_400_U2026),course_page,,0,,,raw_html/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.html,text/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.txt,text/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.md,screenshots/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.png,metadata/00005-mth-252-announcements-announcements-integral-calculus-mth-252z-400-u2026.json,973af2b97dbb06ecfb5f9bc4c66e16fb2b26e0fb72adcec8e5d72bc1f2529609,8f3c52bc93595cfa42b3682de430224218c77a4149343f4bede110571d98f6f2,2026-06-26T21:25:57.153Z,1,25,2,0,0,0
00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,syllabus,surface,https://canvas.oregonstate.edu/courses/2080857/assignments/syllabus,https://canvas.oregonstate.edu/courses/2080857/assignments/syllabus,Syllabus for INTEGRAL CALCULUS (MTH_252Z_400_U2026),assignment,syllabus,0,,,raw_html/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.html,text/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.txt,text/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.md,screenshots/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.png,metadata/00006-mth-252-syllabus-syllabus-for-integral-calculus-mth-252z-400-u2026.json,726584d08c2b41c869d94d8d4c48d1ff943cf139ebc8c088c76d6a1c69bde7f3,038e1bfd31d7e1cf99c332c373d83d54ca3faa7191ee11dabf02b8e8f2473c81,2026-06-26T21:26:00.713Z,2,27,2,0,0,0
00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,discussions,surface,https://canvas.oregonstate.edu/courses/2080857/discussion_topics,https://canvas.oregonstate.edu/courses/2080857/discussion_topics,Discussions: INTEGRAL CALCULUS (MTH_252Z_400_U2026),discussions,,0,,,raw_html/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.html,text/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.txt,text/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.md,screenshots/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.png,metadata/00007-mth-252-discussions-discussions-integral-calculus-mth-252z-400-u2026.json,53c2c72805fb845f7951d613b44474bd9519c217ca9830a28a68d18b35effdca,aab5064a2e114eba0241995354a9dfcc272b2b227cf51a960a3a59576158bd83,2026-06-26T21:26:03.871Z,14,36,2,0,0,0
00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026,2080857,MTH-252,quizzes,surface,https://canvas.oregonstate.edu/courses/2080857/quizzes,https://canvas.oregonstate.edu/courses/2080857,INTEGRAL CALCULUS (MTH_252Z_400_U2026),course_page,,0,yes,,raw_html/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.html,text/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.txt,text/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.fulltext.txt,markdown/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.md,screenshots/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.png,metadata/00008-mth-252-quizzes-integral-calculus-mth-252z-400-u2026.json,b3caa21b3448d571ee920297f4e3833d82ae6c2cedd5abc055f64c02677925a8,0a682d26fdd485de9c51599aa013de7c82364114b443123131d9bc03b79dfd9f,2026-06-26T21:26:07.738Z,7,43,3,0,0,0
00009-mth-253-home-sequences-and-series-mth-253z-400-u2026,2053263,MTH-253,home,surface,https://canvas.oregonstate.edu/courses/2053263,https://canvas.oregonstate.edu/courses/2053263,SEQUENCES AND SERIES (MTH_253Z_400_U2026),course_page,,0,,,raw_html/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.html,text/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.txt,text/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.fulltext.txt,markdown/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.md,screenshots/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.png,metadata/00009-mth-253-home-sequences-and-series-mth-253z-400-u2026.json,86dd7bfc15c248261dce6801428b5cccef9dd8943ec5bc0b4390e73204179f17,a25815ccfada7b00d99b95478d2a6595fa56eb7e88ee26ab26fe0055b62134dc,2026-06-26T21:26:11.180Z,5,45,3,0,0,0
00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026,2053263,MTH-253,modules,surface,https://canvas.oregonstate.edu/courses/2053263/modules,https://canvas.oregonstate.edu/courses/2053263/modules,Course Modules: SEQUENCES AND SERIES (MTH_253Z_400_U2026),modules,,0,,,raw_html/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.html,text/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.txt,text/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.fulltext.txt,markdown/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.md,screenshots/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.png,metadata/00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026.json,aea8a479ebbd8291101535d784b016e6074e1f03c67ac0a104456649c5945187,9aab2c167f1d61fefc1a46e7af93d1c2a3cbcf4caf27ee4df8b79c7bc373a233,2026-06-26T21:26:14.284Z,23,101,2,63,0,0
